image_filename,source_video,trial_id,source_frame_number,source_time_seconds,source_video_fps,frame_width,frame_height
T_20260712_195606_753667_frame_000000.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,0,0.0,30.0,1280,720
T_20260712_195606_753667_frame_000030.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,30,1.0,30.0,1280,720
T_20260712_195606_753667_frame_000060.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,60,2.0,30.0,1280,720
T_20260712_195606_753667_frame_000090.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,90,3.0,30.0,1280,720
T_20260712_195606_753667_frame_000120.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,120,4.0,30.0,1280,720
T_20260712_195606_753667_frame_000150.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,150,5.0,30.0,1280,720
T_20260712_195606_753667_frame_000180.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,180,6.0,30.0,1280,720
T_20260712_195649_403972_frame_000000.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,0,0.0,30.0,1280,720
T_20260712_195649_403972_frame_000030.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,30,1.0,30.0,1280,720
T_20260712_195649_403972_frame_000060.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,60,2.0,30.0,1280,720
T_20260712_195649_403972_frame_000090.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,90,3.0,30.0,1280,720
T_20260712_195649_403972_frame_000120.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,120,4.0,30.0,1280,720
T_20260712_195649_403972_frame_000150.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,150,5.0,30.0,1280,720
T_20260712_195649_403972_frame_000180.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,180,6.0,30.0,1280,720
T_20260712_195649_403972_frame_000210.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,210,7.0,30.0,1280,720
T_20260712_195728_922976_frame_000000.jpg,T_20260712_195728_922976.mp4,T_20260712_195728_922976,0,0.0,30.0,1280,720
