source_video,frame_number,timestamp_seconds,class_id,class_name,confidence,x1,y1,x2,y2,box_center_x,box_center_y,box_width,box_height
T_20260715_015858_798765.mp4,0,0.0,1,power_adapter,0.331076,143.499,274.855,462.65,515.819,303.075,395.337,319.151,240.964
T_20260715_015858_798765.mp4,1,0.033333,1,power_adapter,0.291795,143.662,274.539,462.066,516.23,302.864,395.385,318.404,241.691
T_20260715_015858_798765.mp4,2,0.066667,1,power_adapter,0.30986,144.368,273.745,462.757,516.338,303.562,395.042,318.389,242.593
T_20260715_015858_798765.mp4,3,0.1,1,power_adapter,0.301281,142.96,272.593,462.488,516.033,302.724,394.313,319.528,243.44
T_20260715_015858_798765.mp4,4,0.133333,1,power_adapter,0.2985,143.886,272.605,461.884,515.669,302.885,394.137,317.998,243.063
T_20260715_015858_798765.mp4,5,0.166667,1,power_adapter,0.311471,143.478,273.434,461.927,514.913,302.703,394.174,318.449,241.479
T_20260715_015858_798765.mp4,6,0.2,1,power_adapter,0.327188,143.796,273.283,461.742,514.803,302.769,394.043,317.946,241.519
T_20260715_015858_798765.mp4,7,0.233333,1,power_adapter,0.314952,144.337,273.753,461.174,514.794,302.756,394.274,316.837,241.041
T_20260715_015858_798765.mp4,8,0.266667,1,power_adapter,0.308537,143.362,273.442,462.707,516.193,303.034,394.818,319.345,242.751
T_20260715_015858_798765.mp4,9,0.3,1,power_adapter,0.30522,143.363,273.691,461.562,515.805,302.462,394.748,318.199,242.114
T_20260715_015858_798765.mp4,10,0.333333,1,power_adapter,0.324631,144.061,273.575,462.39,516.071,303.226,394.823,318.329,242.496
T_20260715_015858_798765.mp4,11,0.366667,1,power_adapter,0.333869,143.795,273.816,462.095,515.577,302.945,394.697,318.3,241.761
T_20260715_015858_798765.mp4,12,0.4,1,power_adapter,0.323673,144.149,274.267,461.543,515.293,302.846,394.78,317.394,241.026
T_20260715_015858_798765.mp4,13,0.433333,1,power_adapter,0.301726,149.386,282.23,462.399,527.967,305.893,405.099,313.013,245.737
T_20260715_015858_798765.mp4,14,0.466667,1,power_adapter,0.33643,144.798,274.198,461.537,515.326,303.167,394.762,316.74,241.127
T_20260715_015858_798765.mp4,15,0.5,1,power_adapter,0.333926,144.207,273.623,459.936,514.6,302.071,394.112,315.729,240.977
T_20260715_015858_798765.mp4,16,0.533333,1,power_adapter,0.345397,145.372,274.371,459.362,514.133,302.367,394.252,313.99,239.762
T_20260715_015858_798765.mp4,17,0.566667,1,power_adapter,0.332155,144.839,273.986,459.169,514.389,302.004,394.188,314.33,240.404
T_20260715_015858_798765.mp4,18,0.6,1,power_adapter,0.3358,145.141,273.774,460.002,514.438,302.572,394.106,314.862,240.664
T_20260715_015858_798765.mp4,19,0.633333,1,power_adapter,0.323008,145.524,274.768,459.792,514.63,302.658,394.699,314.267,239.862
T_20260715_015858_798765.mp4,20,0.666667,1,power_adapter,0.332793,145.896,274.714,460.375,514.539,303.136,394.627,314.478,239.826
T_20260715_015858_798765.mp4,21,0.7,1,power_adapter,0.335467,150.138,284.034,459.662,527.646,304.9,405.84,309.525,243.612
T_20260715_015858_798765.mp4,22,0.733333,1,power_adapter,0.348768,145.614,275.213,461.208,514.509,303.411,394.861,315.594,239.296
T_20260715_015858_798765.mp4,23,0.766667,1,power_adapter,0.337869,144.956,275.031,461.847,514.814,303.401,394.923,316.89,239.783
T_20260715_015858_798765.mp4,24,0.8,1,power_adapter,0.301677,148.097,275.217,461.542,514.851,304.819,395.034,313.445,239.634
T_20260715_015858_798765.mp4,25,0.833333,1,power_adapter,0.332906,148.13,274.869,460.283,514.51,304.206,394.689,312.153,239.641
T_20260715_015858_798765.mp4,26,0.866667,1,power_adapter,0.339128,148.144,274.568,460.918,514.362,304.531,394.465,312.775,239.793
T_20260715_015858_798765.mp4,27,0.9,1,power_adapter,0.321664,146.69,274.742,460.358,514.558,303.524,394.65,313.667,239.816
T_20260715_015858_798765.mp4,28,0.933333,1,power_adapter,0.314299,152.048,283.513,460.808,528.082,306.428,405.797,308.76,244.569
T_20260715_015858_798765.mp4,29,0.966667,1,power_adapter,0.308881,151.243,283.643,460.07,527.864,305.656,405.754,308.827,244.221
T_20260715_015858_798765.mp4,30,1.0,1,power_adapter,0.317617,147.057,274.49,461.157,514.522,304.107,394.506,314.1,240.032
T_20260715_015858_798765.mp4,31,1.033333,1,power_adapter,0.31947,150.511,283.542,459.793,527.896,305.152,405.719,309.281,244.354
