image_filename,source_video,trial_id,source_frame_number,source_time_seconds,source_video_fps,frame_width,frame_height,read_success,resolution_ok,blur_score,is_blurry,mean_brightness,is_too_dark,is_too_bright,contrast_score,is_low_contrast,is_exact_duplicate,duplicate_of,quality_warning_count,near_duplicate_pair_count,highest_local_similarity,most_similar_image,near_duplicate_warning,automatic_warning_count,automatic_recommendation,human_decision,human_notes,final_dataset_selected,final_dataset_version
T_20260712_195606_753667_frame_000000.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,0,0.0,30.0,1280,720,True,True,104.74,False,106.947,False,False,62.203,False,False,,0,3,0.98711,T_20260712_195606_753667_frame_000090.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195606_753667_frame_000030.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,30,1.0,30.0,1280,720,True,True,110.861,False,108.981,False,False,63.506,False,False,,0,4,0.992349,T_20260712_195606_753667_frame_000060.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195606_753667_frame_000060.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,60,2.0,30.0,1280,720,True,True,112.368,False,108.907,False,False,63.489,False,False,,0,4,0.992349,T_20260712_195606_753667_frame_000030.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195606_753667_frame_000090.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,90,3.0,30.0,1280,720,True,True,107.764,False,107.335,False,False,62.12,False,False,,0,5,0.987924,T_20260712_195606_753667_frame_000120.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195606_753667_frame_000180.jpg,T_20260712_195606_753667.mp4,T_20260712_195606_753667,180,6.0,30.0,1280,720,True,True,105.838,False,105.321,False,False,60.856,False,False,,0,2,0.990449,T_20260712_195606_753667_frame_000120.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195649_403972_frame_000030.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,30,1.0,30.0,1280,720,True,True,115.705,False,109.497,False,False,63.611,False,False,,0,0,0.931782,T_20260712_195649_403972_frame_000060.jpg,False,0,NO_WARNING,KEEP,,True,V1
T_20260712_195649_403972_frame_000090.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,90,3.0,30.0,1280,720,True,True,126.382,False,110.605,False,False,64.002,False,False,,0,3,0.987639,T_20260712_195649_403972_frame_000120.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195649_403972_frame_000120.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,120,4.0,30.0,1280,720,True,True,125.212,False,108.86,False,False,63.251,False,False,,0,4,0.987639,T_20260712_195649_403972_frame_000090.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195649_403972_frame_000150.jpg,T_20260712_195649_403972.mp4,T_20260712_195649_403972,150,5.0,30.0,1280,720,True,True,114.236,False,105.066,False,False,60.878,False,False,,0,4,0.990276,T_20260712_195649_403972_frame_000210.jpg,True,1,REVIEW,KEEP,,True,V1
T_20260712_195728_922976_frame_000000.jpg,T_20260712_195728_922976.mp4,T_20260712_195728_922976,0,0.0,30.0,1280,720,True,True,113.045,False,105.534,False,False,61.107,False,False,,0,0,0.792632,T_20260712_195728_922976_frame_000090.jpg,False,0,NO_WARNING,KEEP,,True,V1
